framework,scenario,concurrency,error_rate,requests_per_s,output_tokens_per_s,total_tokens_per_s,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,output_tokens_mean,json_valid_rate
lmdeploy_tp2,chat_512_256,16,0.0000,3.6033,922.5113,2767.3839,4392.4590,4474.4353,4506.0809,93.4708,158.7506,175.1240,256.0208,0.0000
lmdeploy_tp2,chat_512_256,32,0.0000,5.8444,1496.3384,4488.6501,5407.6475,5557.4714,5593.7048,201.8457,346.6912,395.7673,256.0312,0.0000
lmdeploy_tp2,chat_512_256,4,0.0000,1.0151,259.8948,779.6211,3923.3142,3964.6018,3970.1713,57.1340,66.9931,78.8309,256.0312,0.0000
lmdeploy_tp2,chat_512_256,8,0.0000,1.9533,500.0991,1500.1650,4077.4891,4111.2405,4125.5259,57.9798,100.0463,111.6839,256.0339,0.0000
lmdeploy_tp2,latency_256_128,1,0.0000,0.4673,59.8459,179.4788,2119.7990,2184.7863,2192.5843,30.9390,37.7639,45.5640,128.0625,0.0000
lmdeploy_tp2,long_context_4096_256,1,0.0000,0.2090,53.5161,909.7041,4393.6533,5846.4142,7184.1614,38.3840,40.7681,211.6624,256.0208,0.0000
lmdeploy_tp2,long_context_4096_256,4,0.0000,0.8470,216.8992,3686.3459,4397.5208,4694.6550,4797.5465,71.7411,446.7032,565.7576,256.0694,0.0000
lmdeploy_tp2,long_context_4096_256,8,0.0000,1.3548,346.9411,5896.3408,5149.8159,5926.6817,6096.7090,469.6800,1188.6303,1357.1758,256.0764,0.0000
lmdeploy_tp2,long_context_8192_256,1,0.0000,0.1647,42.1723,1391.6254,5630.8822,5638.9917,5641.0613,1223.9610,1232.2442,1233.7079,256.0000,0.0000
lmdeploy_tp2,long_context_8192_256,2,0.0000,0.2873,73.5572,2427.1510,6558.1823,6582.9550,6586.0482,1232.5131,1707.5066,1712.0628,256.0139,0.0000
lmdeploy_tp2,long_context_8192_256,4,0.0000,0.4549,116.4461,3842.5605,7884.4148,9391.2265,9488.3450,1398.3647,2714.7596,3010.4789,256.0000,0.0000
lmdeploy_tp2,prefix_cache_4096_256,1,0.0000,0.2127,54.4993,926.0741,4404.7064,5412.6799,7125.8474,38.1884,40.2365,69.2295,256.1840,0.0000
lmdeploy_tp2,prefix_cache_4096_256,16,0.0000,2.3341,598.0122,10160.6333,5692.2880,6713.1623,6886.5886,1097.2425,2068.7661,2192.1274,256.2118,0.0000
lmdeploy_tp2,prefix_cache_4096_256,8,0.0000,1.6427,420.9042,7151.1758,4382.2810,5040.2458,5198.5299,83.3091,797.6088,986.0560,256.2222,0.0000
lmdeploy_tp2,saturation_512_256,1,0.0000,0.2331,59.6637,178.9904,4271.0623,4279.5485,4727.1689,28.4015,30.1192,32.5791,256.0017,0.0000
lmdeploy_tp2,saturation_512_256,16,0.0000,3.6131,924.9894,2774.8803,4387.2005,4459.8589,4525.1024,74.5492,162.3700,205.4151,256.0122,0.0000
lmdeploy_tp2,saturation_512_256,2,0.0000,0.5209,133.3749,400.0760,3837.3662,3845.5338,3847.0376,44.6784,48.7741,51.4336,256.0469,0.0000
lmdeploy_tp2,saturation_512_256,32,0.0000,5.8680,1502.5867,4507.0060,5384.6168,5536.1485,5573.2552,185.3522,332.2139,365.2606,256.0642,0.0000
lmdeploy_tp2,saturation_512_256,4,0.0000,1.0155,260.0168,779.9621,3928.3468,3945.9895,3953.9245,53.8033,66.9187,75.0024,256.0434,0.0000
lmdeploy_tp2,saturation_512_256,48,0.0000,7.8776,2017.0043,6050.3549,5978.2801,6242.3440,6332.3191,250.0253,530.5359,624.3146,256.0417,0.0000
lmdeploy_tp2,saturation_512_256,64,0.0000,8.9695,2296.3956,6888.8000,6798.5822,8081.8725,8201.7999,442.6398,960.7560,1081.1429,256.0208,0.0000
lmdeploy_tp2,saturation_512_256,8,0.0000,1.9532,500.0691,1500.1124,4077.8485,4110.6310,4126.1557,62.7564,96.9508,132.8674,256.0243,0.0000
lmdeploy_tp2,structured_json_512_256,1,0.0000,0.2325,59.5074,178.5272,4281.5498,4334.5358,4512.0155,26.4500,28.0511,28.4138,255.9896,0.0000
lmdeploy_tp2,structured_json_512_256,16,0.0000,3.6479,933.8471,2801.5920,4338.9249,4412.5615,4427.9810,124.3634,188.0046,205.7206,255.9931,0.0000
lmdeploy_tp2,structured_json_512_256,8,0.0000,1.9862,508.4611,1525.3834,4004.2298,4042.7399,4058.8647,61.8159,103.7946,118.7071,256.0000,0.0000
