framework,scenario,concurrency,repetition,requests,success,error_rate,elapsed_s_est,requests_per_s,output_tokens_per_s,total_tokens_per_s,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,output_tokens_mean,json_valid_rate
lmdeploy_tp2,latency_256_128,1,1,32,32,0.0,67.91518859704956,0.4711758983673083,60.369411978311376,180.99044196034228,2117.4785068724304,2135.2780684130266,2156.777482354082,30.853335047140718,49.04080133419481,70.82477588672191,128.125,
lmdeploy_tp2,latency_256_128,1,2,32,32,0.0,67.90572004206479,0.4712415976176576,60.34837709491127,180.9862260850316,2119.4928945042193,2120.6826499430463,2120.825058068149,30.56951705366373,31.790640158578753,32.25795220583677,128.0625,
lmdeploy_tp2,latency_256_128,1,3,32,32,0.0,69.63632095884532,0.4595303077385697,58.81987939053692,176.45963817161078,2122.4255331326276,2298.39821010828,2300.150384143926,31.394202960655093,32.460291450843215,33.60916499979794,128,
lmdeploy_tp2,chat_512_256,4,1,128,128,0.0,126.36183995427564,1.0129640407762117,259.358363346553,777.9959522239734,3922.0504134427756,4004.4066573958844,4008.352157198824,57.29382624849677,68.52809875272214,89.45297271944584,256.0390625,
lmdeploy_tp2,chat_512_256,4,2,128,128,0.0,126.07111516129225,1.0152999744330014,259.94058954799914,779.7741764576958,3927.0878629758954,3954.2978707468137,3957.795208217576,57.2737839538604,66.41194149851799,75.34630907233807,256.0234375,
lmdeploy_tp2,chat_512_256,4,3,128,128,0.0,125.85952776996419,1.0170068350641517,260.3855312400186,781.0930307928643,3920.804298017174,3935.1008051773533,3944.366501555778,56.834350572898984,66.03935612365603,71.69331648387016,256.03125,
lmdeploy_tp2,chat_512_256,8,1,128,128,0.0,65.52173605468124,1.95355019124001,500.24620795526414,1500.4639058701493,4075.91704884544,4107.576712500304,4123.868295676075,57.43221240118146,101.84521940536796,114.7586465999484,256.0703125,
lmdeploy_tp2,chat_512_256,8,2,128,128,0.0,65.48045641975477,1.9547817318112604,500.4088516114029,1501.2570982987681,4077.309329761192,4106.74853825476,4125.7069624448195,60.824431013315916,95.25333263445643,109.06994495540859,255.9921875,
lmdeploy_tp2,chat_512_256,8,3,128,128,0.0,65.59294102480635,1.9514294983600775,499.64217929495953,1498.774082455319,4079.240841558203,4119.396362639964,4127.002585171722,55.68265006877482,103.04025409277529,111.22309538070112,256.0390625,
lmdeploy_tp2,chat_512_256,16,1,128,128,0.0,35.54676565807313,3.600890197190966,921.9404182995495,2765.5961992613243,4384.115621447563,4464.956074976362,4496.750435945578,90.78522934578359,153.30878696404397,169.62258127518,256.03125,
