framework,scenario,concurrency,repetition,requests,success,error_rate,elapsed_s_est,requests_per_s,output_tokens_per_s,total_tokens_per_s,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,output_tokens_mean,json_valid_rate
ollama_deepseek_r1_distill_qwen_14b,latency_256_128,1,1,16,0,1.0,0.8348130970261991,0.0,0.0,0.0,,,,,,,0,
ollama_deepseek_r1_distill_qwen_14b,latency_256_128,1,2,16,0,1.0,0.8279089946299791,0.0,0.0,0.0,,,,,,,0,
ollama_deepseek_r1_distill_qwen_14b,chat_512_128,1,1,24,0,1.0,1.3365607811138034,0.0,0.0,0.0,,,,,,,0,
ollama_deepseek_r1_distill_qwen_14b,chat_512_128,1,2,24,0,1.0,1.3108420073986053,0.0,0.0,0.0,,,,,,,0,
ollama_deepseek_r1_distill_qwen_14b,chat_512_128,2,1,24,0,1.0,0.6788057759404182,0.0,0.0,0.0,,,,,,,0,
ollama_deepseek_r1_distill_qwen_14b,chat_512_128,2,2,24,0,1.0,0.6762701449915767,0.0,0.0,0.0,,,,,,,0,
ollama_deepseek_r1_distill_qwen_14b,chat_512_128,4,1,24,0,1.0,0.4801730029284954,0.0,0.0,0.0,,,,,,,0,
ollama_deepseek_r1_distill_qwen_14b,chat_512_128,4,2,24,0,1.0,0.48211122304201126,0.0,0.0,0.0,,,,,,,0,
ollama_deepseek_r1_distill_qwen_14b,saturation_512_128,1,1,24,0,1.0,1.3097537169232965,0.0,0.0,0.0,,,,,,,0,
ollama_deepseek_r1_distill_qwen_14b,long_context_2048_128,1,1,8,0,1.0,0.7984136613085866,0.0,0.0,0.0,,,,,,,0,
ollama_deepseek_r1_distill_qwen_14b,long_context_2048_128,1,2,8,0,1.0,0.8070064708590508,0.0,0.0,0.0,,,,,,,0,
ollama_deepseek_r1_distill_qwen_14b,structured_json_512_128,1,1,16,0,1.0,0.8845313489437103,0.0,0.0,0.0,,,,,,,0,
ollama_deepseek_r1_distill_qwen_14b,structured_json_512_128,1,2,16,0,1.0,0.8898473023436964,0.0,0.0,0.0,,,,,,,0,
ollama_deepseek_r1_distill_qwen_14b,structured_json_512_128,2,1,16,0,1.0,0.46664811996743083,0.0,0.0,0.0,,,,,,,0,
ollama_deepseek_r1_distill_qwen_14b,structured_json_512_128,2,2,16,0,1.0,0.46241247560828924,0.0,0.0,0.0,,,,,,,0,
