framework,scenario,concurrency,error_rate,requests_per_s,output_tokens_per_s,total_tokens_per_s,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,output_tokens_mean,json_valid_rate
sglang_tp2,chat_512_256,1,0.0000,0.2851,72.9782,218.9347,3501.0310,3517.5391,3520.7925,29.7758,32.3792,41.6765,256.0000,0.0000
sglang_tp2,chat_512_256,16,0.0000,3.4838,891.8522,2675.5567,4498.2071,5017.0351,5038.9577,112.7942,145.3390,149.5123,256.0000,0.0000
sglang_tp2,chat_512_256,2,0.0000,0.5334,136.5390,409.6171,3743.8511,3748.1021,3749.8291,46.5990,49.4399,51.1070,256.0000,0.0000
sglang_tp2,chat_512_256,24,0.0000,4.5268,1159.7040,3477.4145,4782.4094,4852.7897,4872.1817,151.6632,193.4824,206.8807,256.1875,0.0000
sglang_tp2,chat_512_256,32,0.0000,3.3563,859.2309,2577.6576,9478.3178,9674.1374,9719.5482,221.5489,418.0720,456.2835,256.0052,0.0000
sglang_tp2,chat_512_256,4,0.0000,1.0447,267.4326,802.2979,3820.3792,3827.2799,3831.3464,55.2678,60.2732,63.0958,256.0000,0.0000
sglang_tp2,chat_512_256,48,0.0000,4.3646,1117.9707,3352.6391,9740.5550,9995.0271,10061.6892,282.9774,502.3080,571.1745,256.1458,0.0000
sglang_tp2,chat_512_256,64,0.0000,6.2068,1588.9497,4766.8491,10099.7877,10502.0149,10563.3693,471.8259,860.5555,957.7122,256.0000,0.0000
sglang_tp2,chat_512_256,8,0.0000,1.9097,488.8720,1466.6159,4172.3476,4190.8878,4200.2435,70.2495,83.4913,86.5593,256.0000,0.0000
sglang_tp2,latency_256_128,1,0.0000,0.5731,73.3538,220.0614,1726.9624,1786.6608,1789.2529,31.4950,34.2356,35.3800,128.0000,0.0000
sglang_tp2,long_context_4096_256,1,0.0000,0.2339,59.8643,1018.0822,3917.1823,5212.5175,5783.3062,45.6113,231.2704,233.3956,255.8958,0.0000
sglang_tp2,long_context_4096_256,16,0.0000,1.9059,487.9204,8294.6462,7121.6302,9160.6378,9657.9883,1584.7233,2898.5398,2994.6191,256.0000,0.0000
sglang_tp2,long_context_4096_256,2,0.0000,0.4371,111.8563,1902.2855,4378.1898,4389.8981,4423.1077,165.4796,269.6975,272.6017,255.8958,0.0000
sglang_tp2,long_context_4096_256,4,0.0000,0.7881,201.6613,3429.5554,4750.0315,4891.8650,4984.1939,366.0259,658.9364,663.5446,255.8958,0.0000
sglang_tp2,long_context_4096_256,8,0.0000,1.2450,318.7272,5418.3625,5747.7786,6312.9145,6788.2589,805.3491,1430.9185,1441.9785,256.0000,0.0000
sglang_tp2,long_context_8192_256,1,0.0000,0.1631,41.7569,1377.9153,5616.7480,5622.8710,5624.6108,1335.3173,1340.9642,1343.1053,256.0000,0.0000
sglang_tp2,long_context_8192_256,2,0.0000,0.2421,61.9682,2044.8597,7949.1091,7971.6173,7976.2819,2271.9099,2650.5533,2651.8061,256.0000,0.0000
sglang_tp2,long_context_8192_256,4,0.0000,0.3317,84.9029,2801.6721,11478.4918,12925.0886,13169.9933,4316.1998,5472.7010,5515.3586,256.0000,0.0000
sglang_tp2,long_context_8192_256,8,0.0000,0.4295,109.9433,3627.9691,14780.0601,22267.5990,26644.2007,5258.6440,13511.0156,17752.0216,256.0000,0.0000
sglang_tp2,prefix_cache_4096_256,1,0.0000,0.2405,61.6423,1046.9968,3917.7274,4551.4726,5479.2176,45.4146,75.7246,77.4155,256.3021,0.0000
sglang_tp2,prefix_cache_4096_256,16,0.0000,2.2355,572.9659,9731.8506,6380.2901,7692.8134,8213.6430,1197.7537,2190.4267,2247.7641,256.3021,0.0000
sglang_tp2,prefix_cache_4096_256,32,0.0000,2.2742,583.3667,9900.9360,12464.4960,15304.3602,15915.7692,2407.8158,4432.5566,4600.7216,256.5104,0.0000
sglang_tp2,prefix_cache_4096_256,4,0.0000,0.8323,213.3201,3623.2515,4550.9378,4671.9566,4732.0553,293.7281,508.0880,519.2056,256.3021,0.0000
sglang_tp2,prefix_cache_4096_256,8,0.0000,1.3998,358.7660,6093.6562,5242.1148,5627.7636,5953.0057,605.3412,1066.5011,1089.4337,256.3021,0.0000
sglang_tp2,saturation_512_256,1,0.0000,0.2845,72.8432,218.5297,3505.2106,3529.5638,3565.5181,29.5675,31.5255,32.3501,256.0000,0.0000
sglang_tp2,saturation_512_256,16,0.0000,3.5270,902.9013,2708.7040,4504.2159,4556.4621,4577.1238,114.5434,145.8977,151.7787,256.0000,0.0000
sglang_tp2,saturation_512_256,2,0.0000,0.5333,136.5320,409.5959,3743.5141,3749.1013,3751.1105,46.7180,49.2637,50.6517,256.0000,0.0000
sglang_tp2,saturation_512_256,24,0.0000,4.9576,1269.9554,3808.2298,4791.2654,4966.5926,4996.2500,149.7694,304.3194,323.0494,256.1649,0.0000
sglang_tp2,saturation_512_256,32,0.0000,3.3457,856.4816,2569.4912,9514.5157,9662.5591,9706.8503,209.1182,381.0511,442.4273,255.9931,0.0000
sglang_tp2,saturation_512_256,4,0.0000,1.0430,267.0017,800.9978,3825.8035,3834.9514,3837.7111,55.7989,61.2093,62.4011,256.0035,0.0000
sglang_tp2,saturation_512_256,48,0.0000,4.7902,1226.9839,3679.5554,9927.9463,10102.7499,10156.2618,344.3905,539.7329,593.1565,256.1458,0.0000
sglang_tp2,saturation_512_256,64,0.0000,6.1092,1563.9609,4691.8826,10357.8147,10765.7705,10914.5150,534.5038,991.1879,1077.6023,256.0000,0.0000
sglang_tp2,saturation_512_256,8,0.0000,1.9077,488.3687,1465.1061,4174.3683,4194.2653,4202.1555,69.5114,85.1249,87.7211,256.0000,0.0000
sglang_tp2,saturation_512_256,80,0.0000,6.1523,1575.0044,4724.9707,10259.0673,11495.6867,11648.6942,511.1387,1471.3041,1683.4519,256.0035,0.0000
