scenario,concurrency,repetition,requests,success,error_rate,elapsed_s,requests_per_s,output_tokens_per_s,total_tokens_per_s,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,output_tokens_mean,json_valid_rate
chat_512_256,4,1,128,128,0.0,2176.882902587764,0.05879967169930929,15.0646596383371,45.17009154838345,68060.27490552515,68605.59517324436,68762.24470640533,281.65599959902465,296.4137885719538,417.2329627536238,256.203125,
chat_512_256,4,2,128,128,0.0,2177.178013306111,0.058791701559409056,15.062617663587973,45.16396886200541,68048.11707884073,68609.23518869095,68924.63849849068,280.8841068763286,300.7020542630926,413.5031592752785,256.203125,
chat_512_256,4,3,128,128,0.0,2177.065495163668,0.05879474011431943,15.063396150851496,45.16630308938304,68034.27935997024,68624.56265345681,68778.49909148645,282.6817389577627,293.96085566841066,419.03210771735763,256.203125,
chat_512_256,8,1,128,128,0.0,2825.997012918815,0.04529374922013662,11.604400093165316,34.79479969387526,176588.9727808535,177427.4901513243,177895.05443495698,718.0531374178827,828.3668433083221,852.0912337675691,256.203125,
chat_512_256,8,2,128,128,0.0,2827.184890239965,0.04527471848122945,11.599524358386239,34.78018022077572,176670.5552621279,177477.32130647637,177938.64105202258,720.089839072898,801.2490755412728,843.9847820950672,256.203125,
chat_512_256,8,3,128,128,0.0,2827.5396017460153,0.04526903882122803,11.598069211744937,34.775817088213685,176727.63622016646,177393.7234601006,177840.1056804089,718.3282631449401,815.1244276668875,851.1675452999772,256.203125,
chat_512_256,16,1,128,128,0.0,2602.5229440210387,0.04918304382063701,12.600849523859143,37.7825679600253,325103.6525373347,326782.0719489828,327304.6577294078,1339.2174481414258,1686.3135856110603,1725.6899839220569,256.203125,
chat_512_256,16,2,128,128,0.0,2601.2541241808794,0.04920703394955942,12.606995869858217,37.800997252032644,325091.5768670384,326246.7391829239,326640.2259739116,1353.8607389200479,1696.432101354003,1735.6737520033494,256.203125,
chat_512_256,16,3,128,128,0.0,2601.135962824337,0.04920926926903753,12.60756856569388,37.802714431441096,324933.3365771454,326643.6035025399,326963.9935692493,1334.8548461217433,1682.6080028200522,1705.9762686677277,256.203125,
chat_512_256,32,1,128,128,0.0,2559.439933644142,0.05001094118968169,12.812959416987667,38.41856130610469,639461.5520460065,641996.1092704907,642600.3468609368,2676.2014881242067,3421.8786181882024,3446.2742134416476,256.203125,
chat_512_256,32,2,128,128,0.0,2557.0827361997217,0.05005704281208777,12.824770796715674,38.45397671650461,639074.8463899363,640658.2350399345,641053.9643797511,2694.8294669855386,3422.9224572191015,3451.5823596483096,256.203125,
chat_512_256,32,3,128,128,0.0,2558.504842717666,0.050029219356113194,12.817642340346687,38.43260265067664,639257.3168454692,641320.2247859444,642005.7872329513,2675.4317488521338,3387.6983125926927,3454.7798082930967,256.203125,
latency_256_128,1,1,32,32,0.0,146.79396602604538,0.21799261145599336,27.90305426636715,83.70916279910145,4597.60955395177,4644.606526894495,4709.278014157899,64.91657206788659,67.80787641182542,68.59299523290247,128,
latency_256_128,1,2,32,32,0.0,146.96566437603906,0.2177379331142411,27.870455438622862,83.61136631586858,4568.977734306827,4693.7081867828965,4716.396816908382,66.15324690937996,68.46072392072529,68.9629620872438,128,
latency_256_128,1,3,32,32,0.0,147.13205847889185,0.21749168964825466,27.838936274976597,83.51680882492978,4586.264509474859,4704.872303828597,4716.5342984721065,65.47553581185639,67.19339936971664,68.65939104463905,128,
saturation_512_256,1,1,192,192,0.0,1760.0122532239184,0.1090901495988464,27.94980541180444,83.8039620064138,9163.575646001846,9294.642047723755,9349.94765276555,102.46019088663161,104.93170358240604,105.86802497971803,256.2083333333333,
saturation_512_256,1,2,192,192,0.0,1760.2138981693424,0.10907765255102453,27.94660356401041,83.79436167013496,9153.129762038589,9314.339717151597,9333.015917991288,102.5438248179853,104.75547283422202,105.37190239410847,256.2083333333333,
saturation_512_256,1,3,192,192,0.0,1759.8321010330692,0.10910131704455828,27.952666604457868,83.81254093127171,9156.765114050359,9301.716299541295,9356.527389273979,102.59945411235094,105.11986550409347,106.42339174170047,256.2083333333333,
saturation_512_256,2,1,192,192,0.0,2001.488281573169,0.09592861560452809,24.577710723010135,73.69316191252851,20848.334758076817,21066.50091309566,21170.00844514463,126.98971224017441,141.16321392357344,206.83582242112612,256.2083333333333,
saturation_512_256,2,2,192,192,0.0,2007.0221289382316,0.09566411711741969,24.509944006458905,73.48997197057778,20910.94913496636,21116.418421431445,21195.931385499425,127.33669206500053,136.95582051295787,209.33713109232485,256.2083333333333,
saturation_512_256,2,3,192,192,0.0,2010.7561108339578,0.0954864684809379,24.464428945386967,73.35350080762717,20932.24486988038,21139.3243821105,21201.958043850027,127.64048459939659,152.76020064484322,205.1596230873838,256.2083333333333,
saturation_512_256,4,1,192,192,0.0,3268.007423202973,0.05875139653502404,15.052597387244285,45.1333124131766,68094.05230754055,68610.02306351438,68905.71823148988,282.2551338467747,300.9756248444319,411.31312634330243,256.2083333333333,
saturation_512_256,4,2,192,192,0.0,3269.169658518862,0.058730509595818284,15.047245979361943,45.1172668924209,68117.43472167291,68650.30176688451,69007.23233233672,280.69984493777156,297.5425828481093,405.4489163588733,256.2083333333333,
saturation_512_256,4,3,192,192,0.0,3271.274020413868,0.05869272913300884,15.037566309952973,45.088243626053504,68130.90423168615,68756.4436903689,68888.99290647358,280.45566752552986,295.77096139546484,406.58134700730443,256.2083333333333,
saturation_512_256,8,1,192,192,0.0,4238.548156264238,0.04529852980819369,11.605860824607625,34.7987080864028,176620.41970458813,177395.4719401896,177706.48304778617,715.8201271668077,751.0085175512357,846.1511953128502,256.2083333333333,
saturation_512_256,8,2,192,192,0.0,4234.372993548401,0.04534319491753233,11.617304397829429,34.83302019560598,176415.86974659003,177108.7607066147,177329.57654016558,718.405652558431,758.7590921437367,852.780218757689,256.2083333333333,
saturation_512_256,8,3,192,192,0.0,4237.42867468996,0.04531049717646234,11.608926964086123,34.807901518434846,176572.08762713708,177240.02983709797,177358.8628924964,715.3982855379581,746.7372593004256,851.025550737977,256.2083333333333,
saturation_512_256,16,1,192,192,0.0,3888.909356056247,0.04937116873166406,12.64930485545843,37.92734324607043,323870.2835093718,325452.2412369028,325844.6908854693,1334.6651948522776,1676.2581148184836,1704.838495850563,256.2083333333333,
saturation_512_256,16,2,192,192,0.0,3888.1490234117955,0.04938082332850574,12.651778443624242,37.93475998781918,323837.9422253929,325341.4144160459,325933.55591523927,1326.5434021595865,1682.4572775280103,1716.862433468923,256.2083333333333,
saturation_512_256,16,3,192,192,0.0,3887.5986414398067,0.04938781435752614,12.653569603517843,37.940130554571226,323902.28798869066,325122.68765978515,325518.3199745044,1322.2364012617618,1651.280012098141,1705.7978702615947,256.2083333333333,
