framework,scenario,concurrency,error_rate,requests_per_s,output_tokens_per_s,total_tokens_per_s,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,output_tokens_mean,json_valid_rate
vllm_tp2,chat_512_256,16,0.0000,3.5311,903.9493,2711.8479,4486.8212,4581.7829,4607.0889,91.4852,137.2740,156.5321,256.0000,0.0000
vllm_tp2,chat_512_256,32,0.0000,6.1381,1571.2197,4713.9146,5139.9298,5254.0582,5278.3805,172.8899,265.6409,289.4790,255.9792,0.0000
vllm_tp2,chat_512_256,4,0.0000,1.0412,266.5420,799.6260,3830.8160,3847.7083,3866.0458,55.0901,64.7463,81.0798,256.0000,0.0000
vllm_tp2,chat_512_256,8,0.0000,1.9081,488.4491,1465.3770,4173.0144,4197.8199,4207.6091,69.4931,103.5722,124.1025,255.9922,0.0000
vllm_tp2,latency_256_128,1,0.0000,0.5534,70.8339,212.5018,1797.4758,1824.6040,1828.7745,25.8617,31.9252,36.1327,128.0000,0.0000
vllm_tp2,long_context_4096_256,1,0.0000,0.2464,63.0575,1072.3875,3676.4006,4982.8797,5834.1029,43.3031,46.6348,258.4631,255.8958,0.0000
vllm_tp2,long_context_4096_256,4,0.0000,0.8413,215.3820,3661.2107,4329.3965,4753.7566,4864.0549,195.2727,512.5478,603.6748,256.0208,0.0000
vllm_tp2,long_context_4096_256,8,0.0000,1.3240,339.0712,5762.1441,5323.7677,5966.9475,6196.0369,567.4938,1241.2327,1353.0957,256.0972,0.0000
vllm_tp2,long_context_8192_256,1,0.0000,0.1797,46.0271,1518.3476,4990.8017,4995.7975,4997.6618,1278.8775,1283.7809,1285.1755,256.0833,0.0000
vllm_tp2,long_context_8192_256,2,0.0000,0.2913,74.5949,2460.7454,6507.4123,6518.9670,6520.1837,1557.2141,1844.0724,1847.0363,256.0833,0.0000
vllm_tp2,long_context_8192_256,4,0.0000,0.4096,104.8385,3459.8805,9151.7814,10628.3746,10750.7537,2204.2113,3498.1931,3771.0325,255.9722,0.0000
vllm_tp2,prefix_cache_4096_256,1,0.0000,0.2464,63.1959,1072.5645,3677.0841,5454.0817,5867.7527,44.0923,47.0141,73.3365,256.5104,0.0000
vllm_tp2,prefix_cache_4096_256,16,0.0000,2.3230,595.4964,10112.7259,5894.2118,6817.0187,6961.1532,942.7299,1885.2146,2029.5337,256.3507,0.0000
vllm_tp2,prefix_cache_4096_256,8,0.0000,1.5249,390.8280,6638.2257,4741.2593,5278.4112,5413.0215,316.3972,854.1953,953.6990,256.3021,0.0000
vllm_tp2,saturation_512_256,1,0.0000,0.2760,70.6501,211.9504,3612.3650,3619.3419,3850.2907,27.0767,28.7612,29.6614,256.0000,0.0000
vllm_tp2,saturation_512_256,16,0.0000,3.5463,907.8756,2723.6023,4470.1423,4531.7409,4570.5242,80.6224,127.5025,147.0178,256.0035,0.0000
vllm_tp2,saturation_512_256,2,0.0000,0.5279,135.1360,405.4080,3781.8877,3789.7031,3794.6494,41.3982,47.9539,52.3675,256.0000,0.0000
vllm_tp2,saturation_512_256,32,0.0000,6.1503,1574.2954,4723.2275,5123.6119,5267.2692,5305.6582,153.3591,293.5919,321.0933,255.9722,0.0000
vllm_tp2,saturation_512_256,4,0.0000,1.0394,266.0860,798.2579,3838.5849,3847.3738,3850.5690,55.9192,64.1512,65.2025,256.0000,0.0000
vllm_tp2,saturation_512_256,48,0.0000,8.4134,2153.8924,6461.5602,5560.4548,5872.1402,5956.1365,193.2262,444.9581,541.6944,256.0069,0.0000
vllm_tp2,saturation_512_256,64,0.0000,9.9789,2554.5874,7663.7612,6176.1690,6816.7683,6934.2311,350.7481,904.0717,1016.0245,256.0000,0.0000
vllm_tp2,saturation_512_256,8,0.0000,1.9155,490.2563,1470.9752,4159.2393,4181.9497,4197.1514,58.7419,76.2588,90.7282,255.9462,0.0000
vllm_tp2,structured_json_512_256,1,0.0000,0.2759,70.6396,211.9187,3612.3943,3654.4363,3664.0507,27.1737,28.9459,29.9886,256.0000,0.0000
vllm_tp2,structured_json_512_256,16,0.0000,3.5666,913.0475,2739.1425,4446.7647,4498.2898,4515.7874,97.1210,143.1695,153.7253,256.0000,0.0000
vllm_tp2,structured_json_512_256,8,0.0000,1.9276,493.4558,1480.3675,4126.5914,4157.5242,4171.7814,68.1272,88.1575,97.2858,256.0000,0.0000
